000518	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000519	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 
000520	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000521	5 6 3 15 5 5 2 1 4 4 3 2 4 5 10 7 4 5 1 3 
000523	0 0 0 0 0 1 0 0 1 2 4 4 1 1 3 0 3 1 1 1 
000524	0 0 0 0 0 2 7 2 1 2 7 1 5 0 3 3 3 2 4 9 
000525	7 10 7 8 8 5 1 6 1 4 3 6 3 2 5 7 1 3 6 5 
000526	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
000528	0 1 0 0 2 2 0 1 0 1 0 0 2 0 2 2 4 0 1 1 
000529	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 1 0 0 
000530	3 1 5 6 7 6 2 4 5 5 9 6 5 0 3 8 7 2 8 4 
000531	0 4 1 1 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 
000532	1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 
000533	0 0 0 0 0 0 0 0 0 1 0 4 0 0 0 0 0 0 0 0 
000534	0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0 
000536	5 5 2 1 1 0 1 3 0 2 1 2 0 4 1 1 1 1 0 0 
000537	0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 
000538	10 10 8 8 12 4 15 20 6 28 20 11 8 16 16 16 24 14 10 20 
000539	5 0 0 1 1 0 0 1 1 2 0 1 1 2 2 0 2 0 1 1 
000540	0 1 0 1 0 0 3 2 0 2 0 1 0 0 0 0 1 1 1 1 
000541	1 0 0 1 4 1 0 1 0 0 0 0 2 1 0 0 1 1 1 3 
000543	0 0 0 0 0 0 1 4 0 1 0 1 0 0 0 1 0 1 0 0 
000544	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000545	0 0 4 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
000546	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 4 
000547	0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 1 1 1 0 
000548	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000550	0 0 21 9 8 5 1 4 3 0 0 0 4 1 2 1 2 1 0 1 
000551	1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 
000552	0 0 2 0 1 1 0 0 0 1 0 0 0 2 0 0 0 0 2 1 
000553	0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000554	0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
000555	0 0 0 0 0 4 7 3 2 2 0 2 1 3 2 1 2 2 1 2 
